date,product,region,units_sold,unit_price
2023-01-15,Product_A,North,120,25.50
2023-01-20,Product_B,South,85,45.00
2023-01-25,Product_C,East,200,15.75
2023-02-10,Product_A,West,150,25.50
2023-02-14,Product_D,North,75,60.00
2023-02-18,Product_B,East,110,45.00
2023-03-05,Product_C,South,180,15.75
2023-03-12,Product_E,West,95,35.25
2023-03-20,Product_A,North,140,25.50
2023-04-08,Product_D,South,90,60.00
2023-04-15,Product_B,West,125,45.00
2023-04-22,Product_F,East,65,80.00
2023-05-10,Product_C,North,220,15.75
2023-05-18,Product_E,South,105,35.25
2023-05-25,Product_A,East,160,25.50
2023-06-12,Product_F,West,70,80.00
2023-06-20,Product_D,North,85,60.00
2023-06-28,Product_B,South,95,45.00
2023-07-15,Product_G,East,130,50.00
2023-07-22,Product_C,West,190,15.75
2023-08-10,Product_E,North,115,35.25
2023-08-18,Product_A,South,175,25.50
2023-08-25,Product_F,East,75,80.00
2023-09-12,Product_D,West,100,60.00
2023-09-20,Product_G,North,145,50.00
2023-09-28,Product_B,South,120,45.00
2023-10-15,Product_C,East,210,15.75
2023-10-22,Product_H,West,55,90.00
2023-11-10,Product_E,North,125,35.25
2023-11-18,Product_A,South,185,25.50
2023-11-25,Product_F,East,80,80.00
2023-12-12,Product_G,West,155,50.00
2023-12-20,Product_D,North,95,60.00
2023-12-28,Product_H,South,60,90.00
2024-01-15,Product_A,East,195,26.00
2024-01-22,Product_B,West,135,46.00
2024-01-30,Product_C,North,230,16.00
2024-02-10,Product_I,South,40,120.00
2024-02-18,Product_D,East,105,61.50
2024-02-25,Product_E,West,140,36.00
2024-03-15,Product_F,North,85,82.00
2024-03-22,Product_G,South,165,51.00
2024-03-30,Product_H,East,65,92.00
2024-04-12,Product_A,West,205,26.00
2024-04-20,Product_B,North,145,46.00
2024-04-28,Product_C,South,240,16.00
2024-05-15,Product_I,East,45,120.00
2024-05-22,Product_D,West,110,61.50
2024-05-30,Product_E,North,150,36.00
2024-06-12,Product_F,South,90,82.00
2024-06-20,Product_G,East,175,51.00
2024-06-28,Product_H,West,70,92.00
2024-07-15,Product_A,North,215,26.00
2024-07-22,Product_J,South,,55.00
2024-07-30,Product_C,East,250,16.00
2024-08-12,Product_I,West,50,120.00
2024-08-20,Product_D,North,115,61.50
2024-08-28,Product_E,South,160,36.00
2024-09-15,Product_F,East,95,82.00
2024-09-22,Product_G,West,185,51.00
2024-09-30,Product_H,North,75,92.00
2024-10-15,Product_A,South,225,26.00
2024-10-22,Product_J,East,85,55.00
2024-10-30,Product_C,West,260,16.00
2024-11-12,Product_I,North,55,120.00
2024-11-20,Product_D,South,120,61.50
2024-11-28,Product_E,East,170,36.00
2024-12-15,Product_F,West,100,82.00
2024-12-22,Product_G,North,195,51.00
2024-12-30,Product_H,South,80,-5.00
