date,region,product,unit_price,units_sold,revenue
2023-06-18,South,Product D,20.89,27,564.13
2023-04-29,South,Product C,30.41,41,1247.01
2023-08-17,East,Product A,24.75,29,717.62
2024-03-21,North,Product E,53.95,25,1348.68
2024-03-11,North,Product E,52.01,38,1976.23
2024-03-26,East,Product E,49.07,41,2011.91
2023-08-27,East,Product A,29.5,14,412.97
2024-07-07,North,Product C,85.02,2,170.05
2024-01-03,West,Product E,41.76,29,1210.95
2024-12-07,East,Product B,15.79,45,710.36
2023-01-10,South,Product E,39.16,41,1605.51
2024-05-23,East,Product D,26.07,14,364.92
2023-11-01,West,Product A,33.82,37,1251.52
2024-09-15,South,Product D,22.8,40,911.89
2023-06-09,South,Product A,21.81,31,675.98
2024-07-14,North,Product C,41.6,42,1747.41
2023-10-04,West,Product C,41.84,9,376.52
2023-02-28,South,Product C,24.44,24,586.5
2023-03-10,West,Product D,10.83,45,487.47
2024-03-31,East,Product E,58.61,24,1406.53
2024-03-29,West,Product B,14.64,33,483.18
2024-08-29,West,Product A,27.28,10,272.77
2024-11-02,North,Product D,23.9,43,1027.72
2023-08-06,South,Product D,19.35,2,38.69
2024-03-13,West,Product D,22.52,28,630.46
2023-12-10,West,Product D,21.84,22,480.43
2023-12-11,North,Product B,14.03,9,126.27
2023-07-30,East,Product E,46.59,18,838.7
2024-02-08,West,Product B,14.39,16,230.28
2023-09-04,South,Product A,28.16,17,478.78
2024-10-06,West,Product E,37.2,19,706.85
2023-12-26,West,Product A,29.12,17,494.97
2024-02-14,South,Product E,38.34,42,1610.2
2023-09-07,West,Product A,26.4,41,1082.23
2023-09-12,South,Product A,24.64,38,936.18
2024-01-25,West,Product E,44.89,24,1077.33
2024-10-02,South,Product C,35.2,6,211.21
2023-08-25,North,Product C,31.41,49,1539.18
2023-09-13,West,Product A,24.14,19,458.59
2023-01-17,North,Product C,28.9,32,924.96
2023-03-14,East,Product C,31.76,50,1588.15
2024-03-19,North,Product A,25.43,7,177.99
2023-03-27,West,Product B,16.36,27,441.64
2023-07-24,West,Product B,16.81,30,504.16
2024-01-11,East,Product B,13.98,10,139.76
2024-05-03,West,Product C,34.04,49,1668.06
2024-07-21,West,Product C,34.04,13,442.55
2024-05-01,North,Product D,17.37,43,747.04
2023-10-07,West,Product B,14.04,39,547.44
2023-08-11,West,Product A,29.05,19,551.88
2024-03-13,North,Product B,31.21,8,249.65
2023-12-01,North,Product A,30.02,25,750.44
2024-08-21,South,Product D,19.41,40,776.24
2024-07-30,North,Product A,28.96,30,868.95
2023-12-04,North,Product C,37.0,20,739.97
2024-07-18,East,Product D,19.62,1,19.62
2023-08-10,North,Product C,38.89,49,1905.78
2024-06-28,West,Product E,49.18,22,1082.06
2024-05-09,East,Product E,59.13,10,591.25
2024-02-18,West,Product C,26.88,1,26.88
2024-12-19,East,Product E,46.82,19,889.57
2024-08-03,South,Product D,17.71,2,35.42
2024-11-26,South,Product D,19.01,45,855.56
2024-10-28,East,Product D,21.41,25,535.15
2024-08-18,North,Product C,30.78,31,954.23
2023-11-07,North,Product B,20.16,11,221.76
2023-09-28,East,Product C,35.23,48,1691.18
2024-10-28,East,Product E,48.7,22,1071.49
2024-06-12,West,Product E,41.31,48,1982.75
2023-08-25,West,Product D,19.58,18,352.39
2023-02-20,East,Product D,19.89,39,775.63
2023-11-06,West,Product B,20.59,23,473.47
2023-11-22,North,Product E,58.24,6,349.43
2024-01-18,North,Product E,40.6,28,1136.9
2023-09-10,West,Product D,18.82,29,545.91
2024-08-16,North,Product B,17.3,35,605.55
2023-10-05,South,Product E,38.47,38,1461.82
2024-09-21,North,Product E,43.02,43,1849.7
2023-02-23,South,Product E,31.76,13,412.82
2023-12-22,East,Product C,43.85,22,964.64
2024-01-20,East,Product A,24.53,15,367.89
2024-12-20,North,Product E,44.22,28,1238.23
2023-02-23,West,Product E,36.61,17,622.29
2023-11-29,North,Product E,42.95,45,1932.57
2023-06-21,South,Product C,30.88,9,277.95
2024-12-29,South,Product A,29.65,1,29.65
2023-05-11,South,Product D,15.71,7,109.96
2023-09-17,West,Product C,35.85,17,609.39
2023-08-05,North,Product A,29.43,28,824.15
2024-12-14,North,Product A,26.9,21,564.89
2024-03-30,South,Product B,43.88,3,131.63
2023-11-30,West,Product D,19.73,7,138.13
2023-03-19,East,Product C,45.52,5,227.61
2023-11-06,South,Product E,52.42,46,2411.15
2024-01-26,South,Product B,14.57,2,29.15
